giloubîg,"['gilaubid', 'giloubfolle']"
mittingart,"['mittingart', 'mittingardes', 'mitonmrrit']"
diubil,['diubilo']
drugidha,"['drugida', 'diuandaru']"
scheffidh,['skheffides']
huldîn,['huld']
ingesinde,['iudeoliudi']
lastar,"['lastront', 'lastar']"
wundarlik,['wuederu']
gisamanôn,"['gislaganan', 'gisamonoten', 'gisamano', 'gisamanon']"
donar,"['dodan', 'dod']"
firstandan,"['firstandande', 'figand', 'fstundio']"
alsus,['aloos']
nara,['nara']
girihti,['girista']
gemartiren,['gimartirot']
finger,"['findemes', 'finger', 'findet']"
urchundî,"['urkund', 'uoruuirdu']"
antreidin,['andreidim']
folgên,['folgemes']
bigangeri,"['bigunne', 'bigangere']"
manniscnissa,['mannisknissa']
teidinc,['teutoniku']
meineide,"['memoiae', 'mhlstetideru']"
lustlîhho,"['luduiko', 'llzkirhhon']"
engegen,"['ege', 'ezzemes']"
firliosan,"['filio', 'filogotmnno']"
aleine,"['aekwe', 'alenk']"
unheil,"['uueiz', 'ufeit', 'uurtil', 'uuine', 'ufhimil']"
he,['he']
godspell,['gode']
lob,"['lonot', 'lob']"
undthat,['uuath']
magaczogo,['magakzogo']
dugid,"['dugidi', 'dauides']"
githigini,['githig']
tunclîh,['tuol']
hie,['hie']
undenân,['uankon']
ouh,['o']
giweit,"['gideilde', 'gisezit']"
argeban,['agebuode']
eme,['emo']
kalo,['kzala']
genieten,['gendiot']
korn,"['koon', 'konda']"
unfollîh,"['uuolda', 'uuola', 'uolla', 'uuolta']"
aber,['abeidi']
thôlôn,['tholon']
heidin,['heidine']
lidirenki,['lidanthiot']
ungerno,['uankono']
manôn,['manon']
dionôn,"['dionoume', 'diotono']"
unlanc,"['ueloane', 'uulon']"
umbe,['um']
ebanchilîh,"['ekoanehaankaa', 'ebamede']"
misselebên,['mielebetathe']
usa,['uua']
thanglîch,['thanana']
gispanan,['ginanam']
unthat,['uaton']
guot,"['guot', 'guotes', 'guotan', 'guoton']"
folch,"['fol', 'fo']"
loch,['loe']
gibiotan,['gibuozta']
thûsunt,['thekuning']
ich,"['ichi', 'i']"
gilouba,"['giituua', 'giloubtus']"
erslahan,['ebolgan']
leide,['leido']
unreht,"['uuie', 'uurk', 'uurd', 'uarn']"
alwalto,['alla']
nordenân,"['nothiez', 'ndremohelfn']"
thiot,['thaot']
intgeltan,['itanhluduig']
neoman,"['nothman', 'neomn']"
heida,['heo']
duon,['duon']
et,"['ette', 'et']"
urloub,"['ulub', 'ulo']"
wonên,['wob']
gundfano,['gundfano']
gagan,['gaga']
thankôn,"['thankod', 'thank']"
beschouwen,['beidodunkwad']
beidên,['beidon']
ubi,['uui']
guotlihhîn,"['guotokod', 'guotdenner']"
hiu,['hiu']
gisellio,['giellion']
michelî,['mine']
nôtstallo,"['nottallonhea', 'nothmangode']"
elinbogo,"['elbo', 'elisabeth']"
nistniis,['niaoti']
uoben,"['uolgon', 'uuengo']"
handmegin,['holdongikeit']
hiarwist,['hieuuit']
unsliht,"['uuili', 'uuelihemodz']"
kikunt,"['kituuili', 'kispnedz', 'kifrumit', 'kwidu']"
hinafart,"['hinauath', 'hinanfo']"
giwalt,['giuualto']
ellian,"['ellian', 'elysabeth']"
giduon,"['giduot', 'giuuonu']"
ungiloubig,"['uuillionkwimit', 'uuituua']"
gilingan,"['gilonon', 'gigangan']"
iogilîh,['imozbilibit']
thanc,['tha']
ellianlîcho,['ellianlicho']
eitar,['eit']
heggehol,['heuuolde']
fano,"['fand', 'fant']"
iht,['ihit']
angar,['ang']
lioth,['lioth']
ambeht,['aman']
gen,['g']
kyrrieleison,"['kyieleionang', 'kihuktinhimilisk', 'kuningekichundit']"
gizungi,['giunga']
umbigân,['uuig']
